projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/pbr,openstack/oslo.cache,Core,7.643312101910828,9.057971014492754,20,47
openstack/pbr,openstack/oslo.cache,Non core,5.095541401273886,7.971014492753622,20,47
openstack/pbr,openstack/charm-ceph-rbd-mirror,Core,0.8264462809917356,0.5154639175257731,2,5
openstack/pbr,openstack/charm-ceph-rbd-mirror,Non core,0.8264462809917356,2.0618556701030926,2,5
openstack/pbr,openstack/ansible-config_template,Core,2.272727272727273,1.3513513513513513,5,9
openstack/pbr,openstack/ansible-config_template,Non core,1.5151515151515151,2.7027027027027026,5,9
openstack/pbr,openstack/designate-dashboard,Core,5.7324840764331215,5.836575875486381,12,30
openstack/pbr,openstack/designate-dashboard,Non core,1.910828025477707,5.836575875486381,12,30
openstack/pbr,openstack/charm-interface-cinder-backend,Core,0.9009009009009009,0.5376344086021506,1,1
openstack/pbr,openstack/charm-interface-cinder-backend,Non core,0.0,0.0,1,1
openstack/pbr,openstack/cyborg-specs,Core,0.7751937984496124,2.232142857142857,1,10
openstack/pbr,openstack/cyborg-specs,Non core,0.0,2.232142857142857,1,10
openstack/pbr,openstack/python-mistralclient,Core,6.467661691542288,4.487179487179487,18,30
openstack/pbr,openstack/python-mistralclient,Non core,2.4875621890547266,5.128205128205128,18,30
openstack/pbr,openstack/ha-guide,Core,4.487179487179487,3.296703296703297,7,15
openstack/pbr,openstack/ha-guide,Non core,0.0,2.197802197802198,7,15
openstack/pbr,openstack/watcher,Core,4.511278195488721,5.053191489361701,16,35
openstack/pbr,openstack/watcher,Non core,1.5037593984962405,4.25531914893617,16,35
openstack/pbr,openstack/openstack-ansible-os_cloudkitty,Core,3.3783783783783785,3.153153153153153,7,12
openstack/pbr,openstack/openstack-ansible-os_cloudkitty,Non core,1.3513513513513513,2.2522522522522523,7,12
openstack/pbr,openstack/openstack-ansible-os_cinder,Core,4.736842105263158,3.169014084507042,12,20
openstack/pbr,openstack/openstack-ansible-os_cinder,Non core,1.5789473684210527,3.873239436619718,12,20
openstack/pbr,openstack/openstack-health,Core,3.4722222222222223,5.714285714285714,7,23
openstack/pbr,openstack/openstack-health,Non core,1.3888888888888888,3.6734693877551026,7,23
openstack/pbr,openstack/openstack-ansible-os_swift,Core,4.4692737430167595,3.9215686274509802,10,22
openstack/pbr,openstack/openstack-ansible-os_swift,Non core,1.1173184357541899,4.705882352941177,10,22
openstack/pbr,openstack/masakari-specs,Core,2.4193548387096775,2.3696682464454977,4,10
openstack/pbr,openstack/masakari-specs,Non core,0.8064516129032258,2.3696682464454977,4,10
openstack/pbr,openstack/telemetry-specs,Core,5.063291139240507,5.39568345323741,10,18
openstack/pbr,openstack/telemetry-specs,Non core,1.2658227848101267,1.079136690647482,10,18
openstack/pbr,openstack/osprofiler,Core,8.284023668639055,8.0,20,40
openstack/pbr,openstack/osprofiler,Non core,3.5502958579881656,8.0,20,40
openstack/pbr,openstack/openstack-ansible-os_trove,Core,3.9215686274509802,3.0434782608695654,7,16
openstack/pbr,openstack/openstack-ansible-os_trove,Non core,0.6535947712418301,3.91304347826087,7,16
openstack/pbr,openstack/openstack-ansible-os_manila,Core,0.8064516129032258,1.9801980198019802,3,6
openstack/pbr,openstack/openstack-ansible-os_manila,Non core,1.6129032258064515,0.9900990099009901,3,6
openstack/pbr,openstack/ansible-hardening,Core,5.185185185185185,2.666666666666667,9,14
openstack/pbr,openstack/ansible-hardening,Non core,1.4814814814814816,3.5555555555555554,9,14
openstack/pbr,openstack/barbican-specs,Core,2.7210884353741496,3.5856573705179287,7,15
openstack/pbr,openstack/barbican-specs,Non core,2.0408163265306123,2.3904382470119523,7,15
openstack/pbr,openstack/python-heatclient,Core,7.392996108949417,8.373205741626794,26,56
openstack/pbr,openstack/python-heatclient,Non core,2.7237354085603114,5.023923444976076,26,56
openstack/pbr,openstack/oslo.versionedobjects,Core,10.588235294117647,10.606060606060606,29,48
openstack/pbr,openstack/oslo.versionedobjects,Non core,6.470588235294119,7.575757575757576,29,48
openstack/pbr,openstack/os-api-ref,Core,8.208955223880597,6.912442396313365,16,19
openstack/pbr,openstack/os-api-ref,Non core,3.731343283582089,1.8433179723502304,16,19
openstack/pbr,openstack/devstack-plugin-container,Core,2.5,2.030456852791878,3,7
openstack/pbr,openstack/devstack-plugin-container,Non core,0.0,1.5228426395939088,3,7
openstack/pbr,openstack/venus-dashboard,Core,0.0,0.5319148936170213,0,2
openstack/pbr,openstack/venus-dashboard,Non core,0.0,0.5319148936170213,0,2
openstack/pbr,openstack/manila-ui,Core,4.142011834319527,3.7453183520599254,12,22
openstack/pbr,openstack/manila-ui,Non core,2.9585798816568047,4.49438202247191,12,22
openstack/pbr,openstack/devstack-plugin-nfs,Core,1.7699115044247788,4.591836734693878,2,10
openstack/pbr,openstack/devstack-plugin-nfs,Non core,0.0,0.5102040816326531,2,10
openstack/pbr,openstack/taskflow,Core,8.287292817679557,10.689655172413794,27,55
openstack/pbr,openstack/taskflow,Non core,6.629834254143646,8.275862068965518,27,55
openstack/pbr,openstack/python-cyborgclient,Core,3.149606299212598,3.7383177570093453,7,12
openstack/pbr,openstack/python-cyborgclient,Non core,2.3622047244094486,1.8691588785046727,7,12
openstack/pbr,openstack/zun,Core,3.4334763948497855,3.7356321839080464,11,24
openstack/pbr,openstack/zun,Non core,1.2875536480686696,3.1609195402298855,11,24
openstack/pbr,openstack/charm-openstack-loadbalancer,Core,0.0,0.0,1,1
openstack/pbr,openstack/charm-openstack-loadbalancer,Non core,0.9009009009009009,0.5319148936170213,1,1
openstack/pbr,openstack/ansible-role-python_venv_build,Core,1.5267175572519083,2.3474178403755865,3,10
openstack/pbr,openstack/ansible-role-python_venv_build,Non core,0.7633587786259541,2.3474178403755865,3,10
openstack/pbr,openstack/mistral-dashboard,Core,5.88235294117647,2.459016393442623,13,18
openstack/pbr,openstack/mistral-dashboard,Non core,2.6143790849673203,4.918032786885246,13,18
openstack/pbr,openstack/mistral-lib,Core,3.7037037037037033,2.7149321266968327,11,15
openstack/pbr,openstack/mistral-lib,Non core,4.444444444444445,4.072398190045249,11,15
openstack/pbr,openstack/monasca-events-api,Core,4.132231404958678,1.9230769230769231,7,7
openstack/pbr,openstack/monasca-events-api,Non core,1.6528925619834711,1.4423076923076923,7,7
openstack/pbr,openstack/python-zaqarclient,Core,6.741573033707865,7.575757575757576,19,34
openstack/pbr,openstack/python-zaqarclient,Non core,3.932584269662921,5.303030303030303,19,34
openstack/pbr,openstack/monasca-api,Core,4.954954954954955,3.7356321839080464,14,25
openstack/pbr,openstack/monasca-api,Non core,1.3513513513513513,3.4482758620689653,14,25
openstack/pbr,openstack/monasca-persister,Core,5.521472392638037,2.93040293040293,13,18
openstack/pbr,openstack/monasca-persister,Non core,2.4539877300613497,3.6630036630036633,13,18
openstack/pbr,openstack/monasca-notification,Core,6.097560975609756,3.018867924528302,15,16
openstack/pbr,openstack/monasca-notification,Non core,3.048780487804878,3.018867924528302,15,16
openstack/pbr,openstack/python-saharaclient,Core,6.111111111111111,6.985294117647059,19,33
openstack/pbr,openstack/python-saharaclient,Non core,4.444444444444445,5.147058823529411,19,33
openstack/pbr,openstack/charm-magpie,Core,0.0,0.0,1,1
openstack/pbr,openstack/charm-magpie,Non core,0.847457627118644,0.5208333333333333,1,1
openstack/pbr,openstack/openstack-ansible-os_placement,Core,2.4390243902439024,1.9900497512437811,4,8
openstack/pbr,openstack/openstack-ansible-os_placement,Non core,0.8130081300813009,1.9900497512437811,4,8
openstack/pbr,openstack/openstackdocstheme,Core,8.333333333333332,10.276679841897234,18,35
openstack/pbr,openstack/openstackdocstheme,Non core,3.205128205128205,3.557312252964427,18,35
openstack/pbr,openstack/sahara,Core,5.555555555555555,5.714285714285714,33,54
openstack/pbr,openstack/sahara,Non core,4.093567251461988,5.3061224489795915,33,54
openstack/pbr,openstack/ironic-ui,Core,5.960264900662252,4.098360655737705,14,17
openstack/pbr,openstack/ironic-ui,Non core,3.3112582781456954,2.8688524590163933,14,17
openstack/pbr,openstack/oslo.serialization,Core,13.47517730496454,12.831858407079647,32,51
openstack/pbr,openstack/oslo.serialization,Non core,9.219858156028367,9.734513274336283,32,51
openstack/pbr,openstack/oslo.context,Core,9.929078014184398,11.11111111111111,22,46
openstack/pbr,openstack/oslo.context,Non core,5.673758865248227,8.547008547008547,22,46
openstack/pbr,openstack/oslo.limit,Core,5.511811023622047,6.372549019607843,13,23
openstack/pbr,openstack/oslo.limit,Non core,4.724409448818897,4.901960784313726,13,23
openstack/pbr,openstack/oslo.middleware,Core,10.559006211180124,12.704918032786885,27,59
openstack/pbr,openstack/oslo.middleware,Non core,6.211180124223603,11.475409836065573,27,59
openstack/pbr,openstack/oslo.reports,Core,7.518796992481203,9.00900900900901,17,38
openstack/pbr,openstack/oslo.reports,Non core,5.263157894736842,8.108108108108109,17,38
openstack/pbr,openstack/futurist,Core,9.848484848484848,8.292682926829269,18,37
openstack/pbr,openstack/futurist,Non core,3.787878787878788,9.75609756097561,18,37
openstack/pbr,openstack/oslo.i18n,Core,12.949640287769784,12.77533039647577,28,54
openstack/pbr,openstack/oslo.i18n,Non core,7.194244604316546,11.013215859030836,28,54
openstack/pbr,openstack/sushy-oem-idrac,Core,0.0,0.9950248756218906,0,3
openstack/pbr,openstack/sushy-oem-idrac,Non core,0.0,0.4975124378109453,0,3
openstack/pbr,openstack/python-dracclient,Core,1.4084507042253522,2.11864406779661,3,12
openstack/pbr,openstack/python-dracclient,Non core,0.7042253521126761,2.9661016949152543,3,12
openstack/pbr,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,0,0
openstack/pbr,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,0,0
openstack/pbr,openstack/openstack-ansible-os_masakari,Core,2.2222222222222223,2.28310502283105,4,12
openstack/pbr,openstack/openstack-ansible-os_masakari,Non core,0.7407407407407408,3.1963470319634704,4,12
openstack/pbr,openstack/ansible-role-systemd_mount,Core,1.6129032258064515,1.0,2,6
openstack/pbr,openstack/ansible-role-systemd_mount,Non core,0.0,2.0,2,6
openstack/pbr,openstack/python-senlinclient,Core,6.666666666666667,5.0,18,26
openstack/pbr,openstack/python-senlinclient,Non core,3.3333333333333335,5.0,18,26
openstack/pbr,openstack/senlin-dashboard,Core,5.298013245033113,6.097560975609756,12,25
openstack/pbr,openstack/senlin-dashboard,Non core,2.6490066225165565,4.0650406504065035,12,25
openstack/pbr,openstack/networking-generic-switch,Core,4.968944099378882,5.9071729957805905,9,22
openstack/pbr,openstack/networking-generic-switch,Non core,0.6211180124223602,3.375527426160337,9,22
openstack/pbr,openstack/sahara-image-elements,Core,5.590062111801243,2.4,12,15
openstack/pbr,openstack/sahara-image-elements,Non core,1.8633540372670807,3.5999999999999996,12,15
openstack/pbr,openstack/ansible-role-thales-hsm,Core,0.0,0.0,0,3
openstack/pbr,openstack/ansible-role-thales-hsm,Non core,0.0,1.5544041450777202,0,3
openstack/pbr,openstack/ansible-role-atos-hsm,Core,0.0,1.5957446808510638,0,6
openstack/pbr,openstack/ansible-role-atos-hsm,Non core,0.0,1.5957446808510638,0,6
openstack/pbr,openstack/adjutant-ui,Core,3.508771929824561,3.1413612565445024,4,8
openstack/pbr,openstack/adjutant-ui,Non core,0.0,1.0471204188481675,4,8
openstack/pbr,openstack/sahara-extra,Core,4.316546762589928,4.545454545454546,9,17
openstack/pbr,openstack/sahara-extra,Non core,2.158273381294964,3.1818181818181817,9,17
openstack/pbr,openstack/blazar-nova,Core,6.2015503875969,5.0691244239631335,10,21
openstack/pbr,openstack/blazar-nova,Non core,1.550387596899225,4.6082949308755765,10,21
openstack/pbr,openstack/oslo.service,Core,9.30232558139535,10.256410256410255,27,50
openstack/pbr,openstack/oslo.service,Non core,6.395348837209303,8.058608058608058,27,50
openstack/pbr,openstack/blazar-dashboard,Core,4.0650406504065035,3.7037037037037033,8,17
openstack/pbr,openstack/blazar-dashboard,Non core,2.4390243902439024,4.166666666666666,8,17
openstack/pbr,openstack/paunch,Core,5.47945205479452,6.94980694980695,9,31
openstack/pbr,openstack/paunch,Non core,0.684931506849315,5.019305019305019,9,31
openstack/pbr,openstack/service-types-authority,Core,5.785123966942149,9.375,7,23
openstack/pbr,openstack/service-types-authority,Non core,0.0,0.8928571428571428,7,23
openstack/pbr,openstack/python-ironic-inspector-client,Core,5.517241379310345,3.7037037037037033,10,21
openstack/pbr,openstack/python-ironic-inspector-client,Non core,1.3793103448275863,4.938271604938271,10,21
openstack/pbr,openstack/openstack-ansible-memcached_server,Core,4.081632653061225,0.8658008658008658,7,10
openstack/pbr,openstack/openstack-ansible-memcached_server,Non core,0.6802721088435374,3.463203463203463,7,10
openstack/pbr,openstack/os-testr,Core,7.801418439716312,10.043668122270741,15,36
openstack/pbr,openstack/os-testr,Non core,2.8368794326241136,5.676855895196507,15,36
openstack/pbr,openstack/openstack-ansible-ceph_client,Core,3.2679738562091507,1.6736401673640167,6,14
openstack/pbr,openstack/openstack-ansible-ceph_client,Non core,0.6535947712418301,4.184100418410042,6,14
openstack/pbr,openstack/openstack-ansible-os_magnum,Core,4.516129032258064,3.2653061224489797,8,16
openstack/pbr,openstack/openstack-ansible-os_magnum,Non core,0.6451612903225806,3.2653061224489797,8,16
openstack/pbr,openstack/openstack-ansible-os_blazar,Core,2.272727272727273,2.336448598130841,5,10
openstack/pbr,openstack/openstack-ansible-os_blazar,Non core,1.5151515151515151,2.336448598130841,5,10
openstack/pbr,openstack/openstack-ansible-os_designate,Core,3.7267080745341614,3.6290322580645165,7,20
openstack/pbr,openstack/openstack-ansible-os_designate,Non core,0.6211180124223602,4.435483870967742,7,20
openstack/pbr,openstack/openstack-ansible-os_gnocchi,Core,3.79746835443038,2.9914529914529915,8,18
openstack/pbr,openstack/openstack-ansible-os_gnocchi,Non core,1.2658227848101267,4.700854700854701,8,18
openstack/pbr,openstack/openstack-ansible-os_senlin,Core,0.0,0.0,0,2
openstack/pbr,openstack/openstack-ansible-os_senlin,Non core,0.0,1.0526315789473684,0,2
openstack/pbr,openstack/ptgbot,Core,7.964601769911504,7.253886010362693,9,16
openstack/pbr,openstack/ptgbot,Non core,0.0,1.0362694300518136,9,16
openstack/pbr,openstack/openstack-ansible-os_zun,Core,3.076923076923077,1.9138755980861244,6,11
openstack/pbr,openstack/openstack-ansible-os_zun,Non core,1.5384615384615385,3.349282296650718,6,11
openstack/pbr,openstack/openstack-ansible-repo_server,Core,3.821656050955414,2.0325203252032518,7,12
openstack/pbr,openstack/openstack-ansible-repo_server,Non core,0.6369426751592357,2.8455284552845526,7,12
openstack/pbr,openstack/python-watcherclient,Core,5.084745762711865,3.2520325203252036,14,17
openstack/pbr,openstack/python-watcherclient,Non core,2.824858757062147,3.6585365853658534,14,17
openstack/pbr,openstack/heat-agents,Core,4.3478260869565215,7.053941908713693,7,27
openstack/pbr,openstack/heat-agents,Non core,0.7246376811594203,4.149377593360995,7,27
openstack/pbr,openstack/oslo.rootwrap,Core,11.612903225806452,13.692946058091287,25,58
openstack/pbr,openstack/oslo.rootwrap,Non core,4.516129032258064,10.37344398340249,25,58
openstack/pbr,openstack/automaton,Core,8.333333333333332,6.565656565656567,19,27
openstack/pbr,openstack/automaton,Non core,7.5,7.07070707070707,19,27
openstack/pbr,openstack/debtcollector,Core,9.230769230769232,8.205128205128204,21,29
openstack/pbr,openstack/debtcollector,Non core,6.923076923076923,6.666666666666667,21,29
openstack/pbr,openstack/vitrage-dashboard,Core,3.6585365853658534,2.928870292887029,10,11
openstack/pbr,openstack/vitrage-dashboard,Non core,2.4390243902439024,1.6736401673640167,10,11
openstack/pbr,openstack/oslotest,Core,12.857142857142856,13.88888888888889,28,54
openstack/pbr,openstack/oslotest,Non core,7.142857142857142,11.11111111111111,28,54
openstack/pbr,openstack/kayobe-config,Core,1.7241379310344827,1.6129032258064515,2,3
openstack/pbr,openstack/kayobe-config,Non core,0.0,0.0,2,3
openstack/pbr,openstack/compute-hyperv,Core,6.976744186046512,3.8834951456310676,12,16
openstack/pbr,openstack/compute-hyperv,Non core,2.3255813953488373,3.8834951456310676,12,16
openstack/pbr,openstack/python-cloudkittyclient,Core,4.375,3.4482758620689653,9,20
openstack/pbr,openstack/python-cloudkittyclient,Non core,1.25,5.172413793103448,9,20
openstack/pbr,openstack/charm-interface-keystone,Core,1.694915254237288,0.5208333333333333,4,6
openstack/pbr,openstack/charm-interface-keystone,Non core,1.694915254237288,2.604166666666667,4,6
openstack/pbr,openstack/cloudkitty-dashboard,Core,5.594405594405594,2.941176470588235,11,20
openstack/pbr,openstack/cloudkitty-dashboard,Non core,2.097902097902098,5.46218487394958,11,20
openstack/pbr,openstack/networking-hyperv,Core,6.802721088435375,4.225352112676056,13,20
openstack/pbr,openstack/networking-hyperv,Non core,2.0408163265306123,5.164319248826291,13,20
openstack/pbr,openstack/i18n,Core,6.428571428571428,3.8135593220338984,10,16
openstack/pbr,openstack/i18n,Non core,0.7142857142857143,2.9661016949152543,10,16
openstack/pbr,openstack/sahara-tests,Core,4.3478260869565215,3.862660944206009,8,15
openstack/pbr,openstack/sahara-tests,Non core,1.4492753623188406,2.575107296137339,8,15
openstack/pbr,openstack/python-zunclient,Core,5.084745762711865,3.3457249070631967,14,16
openstack/pbr,openstack/python-zunclient,Non core,2.824858757062147,2.6022304832713754,14,16
openstack/pbr,openstack/sahara-plugin-cdh,Core,2.586206896551724,3.125,4,11
openstack/pbr,openstack/sahara-plugin-cdh,Non core,0.8620689655172413,2.604166666666667,4,11
openstack/pbr,openstack/monasca-ui,Core,7.142857142857142,3.061224489795918,16,18
openstack/pbr,openstack/monasca-ui,Non core,2.380952380952381,3.061224489795918,16,18
openstack/pbr,openstack/python-adjutantclient,Core,3.4782608695652173,2.7027027027027026,4,9
openstack/pbr,openstack/python-adjutantclient,Non core,0.0,2.1621621621621623,4,9
openstack/pbr,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/pbr,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/pbr,openstack/ansible-role-lunasa-hsm,Core,0.9259259259259258,0.546448087431694,1,3
openstack/pbr,openstack/ansible-role-lunasa-hsm,Non core,0.0,1.092896174863388,1,3
openstack/pbr,openstack/monasca-thresh,Core,3.076923076923077,0.45045045045045046,5,5
openstack/pbr,openstack/monasca-thresh,Non core,0.7692307692307693,1.8018018018018018,5,5
openstack/pbr,openstack/heat-specs,Core,4.705882352941177,5.357142857142857,8,29
openstack/pbr,openstack/heat-specs,Non core,0.0,3.273809523809524,8,29
openstack/pbr,openstack/watcher-dashboard,Core,4.72972972972973,3.463203463203463,9,17
openstack/pbr,openstack/watcher-dashboard,Non core,1.3513513513513513,3.896103896103896,9,17
openstack/pbr,openstack/sahara-plugin-ambari,Core,2.608695652173913,2.127659574468085,4,8
openstack/pbr,openstack/sahara-plugin-ambari,Non core,0.8695652173913043,2.127659574468085,4,8
openstack/pbr,openstack/sahara-plugin-mapr,Core,2.631578947368421,2.631578947368421,4,11
openstack/pbr,openstack/sahara-plugin-mapr,Non core,0.8771929824561403,3.1578947368421053,4,11
openstack/pbr,openstack/sahara-plugin-spark,Core,2.6548672566371683,2.1739130434782608,4,7
openstack/pbr,openstack/sahara-plugin-spark,Non core,0.8849557522123894,1.6304347826086956,4,7
openstack/pbr,openstack/sahara-plugin-storm,Core,2.6548672566371683,2.1621621621621623,4,7
openstack/pbr,openstack/sahara-plugin-storm,Non core,0.8849557522123894,1.6216216216216217,4,7
openstack/pbr,openstack/sahara-plugin-vanilla,Core,2.6548672566371683,2.1621621621621623,4,9
openstack/pbr,openstack/sahara-plugin-vanilla,Non core,0.8849557522123894,2.7027027027027026,4,9
openstack/pbr,openstack/sahara-specs,Core,2.631578947368421,2.0408163265306123,6,9
openstack/pbr,openstack/sahara-specs,Non core,1.3157894736842104,1.6326530612244898,6,9
openstack/pbr,openstack/venus-tempest-plugin,Core,0.0,0.5376344086021506,0,1
openstack/pbr,openstack/venus-tempest-plugin,Non core,0.0,0.0,0,1
openstack/pbr,openstack/venus-specs,Core,0.0,0.0,0,0
openstack/pbr,openstack/venus-specs,Non core,0.0,0.0,0,0
openstack/pbr,openstack/ceilometermiddleware,Core,6.61764705882353,6.521739130434782,11,25
openstack/pbr,openstack/ceilometermiddleware,Non core,1.4705882352941175,4.3478260869565215,11,25
openstack/pbr,openstack/trove-tempest-plugin,Core,2.586206896551724,1.9801980198019802,5,9
openstack/pbr,openstack/trove-tempest-plugin,Non core,1.7241379310344827,2.4752475247524752,5,9
openstack/pbr,openstack/arch-design,Core,0.8771929824561403,1.6304347826086956,1,3
openstack/pbr,openstack/arch-design,Non core,0.0,0.0,1,3
openstack/pbr,openstack/monasca-common,Core,5.294117647058823,2.5830258302583027,12,18
openstack/pbr,openstack/monasca-common,Non core,1.7647058823529411,4.059040590405904,12,18
openstack/pbr,openstack/monasca-statsd,Core,7.462686567164178,2.7027027027027026,13,16
openstack/pbr,openstack/monasca-statsd,Non core,2.2388059701492535,4.504504504504505,13,16
openstack/pbr,openstack/python-monascaclient,Core,6.179775280898876,4.710144927536232,18,23
openstack/pbr,openstack/python-monascaclient,Non core,3.932584269662921,3.6231884057971016,18,23
openstack/pbr,openstack/renderspec,Core,4.918032786885246,3.0456852791878175,9,12
openstack/pbr,openstack/renderspec,Non core,2.459016393442623,3.0456852791878175,9,12
openstack/pbr,openstack/os-service-types,Core,3.3057851239669422,6.63265306122449,8,20
openstack/pbr,openstack/os-service-types,Non core,3.3057851239669422,3.571428571428571,8,20
openstack/pbr,openstack/masakari-dashboard,Core,3.937007874015748,3.2710280373831773,7,15
openstack/pbr,openstack/masakari-dashboard,Non core,1.574803149606299,3.7383177570093453,7,15
openstack/pbr,openstack/freezer-dr,Core,2.4,2.9268292682926833,7,14
openstack/pbr,openstack/freezer-dr,Non core,3.2,3.902439024390244,7,14
openstack/pbr,openstack/tempest-stress,Core,3.3057851239669422,3.2085561497326207,6,11
openstack/pbr,openstack/tempest-stress,Non core,1.6528925619834711,2.6737967914438503,6,11
openstack/pbr,openstack/charm-neutron-api-genericswitch,Core,0.9174311926605505,1.0869565217391304,2,2
openstack/pbr,openstack/charm-neutron-api-genericswitch,Non core,0.9174311926605505,0.0,2,2
openstack/pbr,openstack/charm-neutron-dynamic-routing,Core,1.6666666666666667,1.0309278350515463,3,5
openstack/pbr,openstack/charm-neutron-dynamic-routing,Non core,0.8333333333333334,1.5463917525773196,3,5
openstack/pbr,openstack/charm-interface-ceph-client,Core,1.7699115044247788,1.0582010582010581,2,3
openstack/pbr,openstack/charm-interface-ceph-client,Non core,0.0,0.5291005291005291,2,3
openstack/pbr,openstack/charm-percona-cluster,Core,2.112676056338028,1.345291479820628,5,8
openstack/pbr,openstack/charm-percona-cluster,Non core,1.4084507042253522,2.242152466367713,5,8
openstack/pbr,openstack/charm-deployment-guide,Core,1.4705882352941175,0.4761904761904762,3,4
openstack/pbr,openstack/charm-deployment-guide,Non core,0.7352941176470588,1.4285714285714286,3,4
openstack/pbr,openstack/rbd-iscsi-client,Core,0.0,0.53475935828877,0,1
openstack/pbr,openstack/rbd-iscsi-client,Non core,0.0,0.0,0,1
openstack/pbr,openstack/oslo.metrics,Core,0.8849557522123894,3.2432432432432434,2,11
openstack/pbr,openstack/oslo.metrics,Non core,0.8849557522123894,2.7027027027027026,2,11
openstack/pbr,openstack/oslo.vmware,Core,9.146341463414634,12.643678160919542,23,63
openstack/pbr,openstack/oslo.vmware,Non core,4.878048780487805,11.494252873563218,23,63
openstack/pbr,openstack/oslo.upgradecheck,Core,8.035714285714286,6.282722513089005,13,18
openstack/pbr,openstack/oslo.upgradecheck,Non core,3.571428571428571,3.1413612565445024,13,18
openstack/pbr,openstack/python-masakariclient,Core,3.597122302158273,2.727272727272727,10,13
openstack/pbr,openstack/python-masakariclient,Non core,3.597122302158273,3.1818181818181817,10,13
openstack/pbr,openstack/python-vitrageclient,Core,3.289473684210526,0.9389671361502347,9,7
openstack/pbr,openstack/python-vitrageclient,Non core,2.631578947368421,2.3474178403755865,9,7
openstack/pbr,openstack/python-blazarclient,Core,4.761904761904762,7.456140350877193,13,30
openstack/pbr,openstack/python-blazarclient,Non core,4.081632653061225,5.701754385964912,13,30
openstack/pbr,openstack/zaqar-tempest-plugin,Core,2.564102564102564,3.571428571428571,3,10
openstack/pbr,openstack/zaqar-tempest-plugin,Non core,0.0,1.530612244897959,3,10
openstack/pbr,openstack/tripleo-common-tempest-plugin,Core,1.680672268907563,1.9607843137254901,5,10
openstack/pbr,openstack/tripleo-common-tempest-plugin,Non core,2.5210084033613445,2.941176470588235,5,10
openstack/pbr,openstack/mistral-tempest-plugin,Core,0.78125,0.9478672985781991,3,5
openstack/pbr,openstack/mistral-tempest-plugin,Non core,1.5625,1.4218009478672986,3,5
openstack/pbr,openstack/barbican-ui,Core,0.9345794392523363,1.0582010582010581,1,4
openstack/pbr,openstack/barbican-ui,Non core,0.0,1.0582010582010581,1,4
openstack/pbr,openstack/liberasurecode,Core,1.7391304347826086,2.051282051282051,4,6
openstack/pbr,openstack/liberasurecode,Non core,1.7391304347826086,1.0256410256410255,4,6
openstack/pbr,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/pbr,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/pbr,openstack/os-client-config,Core,11.042944785276074,11.244979919678714,23,38
openstack/pbr,openstack/os-client-config,Non core,3.067484662576687,4.016064257028113,23,38
openstack/pbr,openstack/monasca-specs,Core,1.7094017094017095,0.9615384615384616,2,3
openstack/pbr,openstack/monasca-specs,Non core,0.0,0.4807692307692308,2,3
openstack/pbr,openstack/os-performance-tools,Core,2.479338842975207,4.18848167539267,5,11
openstack/pbr,openstack/os-performance-tools,Non core,1.6528925619834711,1.5706806282722512,5,11
openstack/pbr,openstack/trove-specs,Core,2.877697841726619,2.7777777777777777,8,13
openstack/pbr,openstack/trove-specs,Non core,2.877697841726619,2.380952380952381,8,13
openstack/pbr,openstack/manila-image-elements,Core,1.5267175572519083,2.293577981651376,3,9
openstack/pbr,openstack/manila-image-elements,Non core,0.7633587786259541,1.834862385321101,3,9
openstack/pbr,openstack/blazar-specs,Core,0.8695652173913043,2.0202020202020203,1,4
openstack/pbr,openstack/blazar-specs,Non core,0.0,0.0,1,4
openstack/pbr,openstack/molteniron,Core,3.508771929824561,1.9900497512437811,5,6
openstack/pbr,openstack/molteniron,Non core,0.8771929824561403,0.9950248756218906,5,6
openstack/pbr,openstack/solum-specs,Core,2.5210084033613445,1.0050251256281406,4,5
openstack/pbr,openstack/solum-specs,Non core,0.8403361344537815,1.507537688442211,4,5
openstack/pbr,openstack/patrole,Core,3.723404255319149,6.273062730627306,9,22
openstack/pbr,openstack/patrole,Non core,1.0638297872340425,1.8450184501845017,9,22
openstack/pbr,openstack/performance-docs,Core,1.4084507042253522,3.1390134529147984,5,16
openstack/pbr,openstack/performance-docs,Non core,2.112676056338028,4.0358744394618835,5,16
openstack/pbr,openstack/sphinx-feature-classification,Core,5.982905982905983,6.217616580310881,10,23
openstack/pbr,openstack/sphinx-feature-classification,Non core,2.564102564102564,5.699481865284974,10,23
openstack/pbr,openstack/etcd3gw,Core,0.8849557522123894,3.225806451612903,2,6
openstack/pbr,openstack/etcd3gw,Non core,0.8849557522123894,0.0,2,6
openstack/pbr,openstack/watcher-specs,Core,0.6578947368421052,1.556420233463035,3,7
openstack/pbr,openstack/watcher-specs,Non core,1.3157894736842104,1.1673151750972763,3,7
openstack/pbr,openstack/yaql,Core,5.303030303030303,2.727272727272727,11,17
openstack/pbr,openstack/yaql,Non core,3.0303030303030303,5.0,11,17
openstack/pbr,openstack/puppet-openstack-guide,Core,2.307692307692308,2.403846153846154,4,13
