projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-python-daemonize,openstack/deb-python-pyngus,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-pyngus,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-editor,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-editor,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-ddt,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-ddt,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-monotonic,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-monotonic,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-rjsmin,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-rjsmin,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-jsonpath-rw,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-jsonpath-rw,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-django-appconf,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-django-appconf,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-oauth2client,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-oauth2client,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-json-pointer,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-json-pointer,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic-smart-table,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic-smart-table,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic-jquery-ui,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-xstatic-jquery-ui,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-requestbuilder,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-requestbuilder,Non core,100.0,100.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-nosehtmloutput,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-nosehtmloutput,Non core,100.0,100.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-csscompressor,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-csscompressor,Non core,50.0,100.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-croniter,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-croniter,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/deb-python-concurrent.futures,Core,0.0,0.0,1,2
openstack/deb-python-daemonize,openstack/deb-python-concurrent.futures,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-daemonize,openstack/openstack-salt,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/openstack-salt,Non core,0.0,12.5,0,1
openstack/deb-python-daemonize,openstack/deb-spice-html5,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/deb-spice-html5,Non core,0.0,33.33333333333333,0,1
openstack/deb-python-daemonize,openstack/salt-formula-midonet,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/salt-formula-midonet,Non core,0.0,33.33333333333333,0,1
openstack/deb-python-daemonize,openstack/magnetodb-specs,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/magnetodb-specs,Non core,0.0,5.0,0,1
openstack/deb-python-daemonize,openstack/magnetodb,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/magnetodb,Non core,0.0,2.564102564102564,0,1
openstack/deb-python-daemonize,openstack/openstack-nose,Core,0.0,0.0,0,1
openstack/deb-python-daemonize,openstack/openstack-nose,Non core,0.0,10.0,0,1
