projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-vault,openstack/puppet-glance,Core,0.0,0.43478260869565216,0,5
openstack/charm-vault,openstack/puppet-glance,Non core,0.0,1.7391304347826086,0,5
openstack/charm-vault,openstack/ironic-tempest-plugin,Core,0.0,0.8547008547008548,1,4
openstack/charm-vault,openstack/ironic-tempest-plugin,Non core,1.1627906976744187,2.564102564102564,1,4
openstack/charm-vault,openstack/oslo.utils,Core,0.625,0.42016806722689076,2,5
openstack/charm-vault,openstack/oslo.utils,Non core,0.625,1.680672268907563,2,5
openstack/charm-vault,openstack/charm-mysql-innodb-cluster,Core,2.0,0.0,14,16
openstack/charm-vault,openstack/charm-mysql-innodb-cluster,Non core,26.0,34.78260869565217,14,16
openstack/charm-vault,openstack/charm-trilio-dm-api,Core,0.0,0.0,7,10
openstack/charm-vault,openstack/charm-trilio-dm-api,Non core,17.5,22.727272727272727,7,10
openstack/charm-vault,openstack/charm-cinder-lvm,Core,0.0,0.0,4,9
openstack/charm-vault,openstack/charm-cinder-lvm,Non core,9.75609756097561,20.0,4,9
openstack/charm-vault,openstack/cinder-tempest-plugin,Core,1.3333333333333335,1.0204081632653061,2,5
openstack/charm-vault,openstack/cinder-tempest-plugin,Non core,1.3333333333333335,4.081632653061225,2,5
openstack/charm-vault,openstack/barbican-tempest-plugin,Core,0.0,0.819672131147541,2,3
openstack/charm-vault,openstack/barbican-tempest-plugin,Non core,2.5316455696202533,1.639344262295082,2,3
openstack/charm-vault,openstack/magnum-specs,Core,0.0,0.0,0,3
openstack/charm-vault,openstack/magnum-specs,Non core,0.0,3.571428571428571,0,3
openstack/charm-vault,openstack/charm-interface-mysql-router,Core,2.564102564102564,0.0,3,9
openstack/charm-vault,openstack/charm-interface-mysql-router,Non core,5.128205128205128,20.454545454545457,3,9
openstack/charm-vault,openstack/venus,Core,1.5625,0.0,1,0
openstack/charm-vault,openstack/venus,Non core,0.0,0.0,1,0
openstack/charm-vault,openstack/charm-neutron-api,Core,2.7777777777777777,2.4390243902439024,23,27
openstack/charm-vault,openstack/charm-neutron-api,Non core,29.166666666666668,30.48780487804878,23,27
openstack/charm-vault,openstack/tacker-specs,Core,0.0,0.5405405405405406,0,6
openstack/charm-vault,openstack/tacker-specs,Non core,0.0,2.7027027027027026,0,6
openstack/charm-vault,openstack/openstack-ansible-galera_server,Core,0.0,0.0,1,5
openstack/charm-vault,openstack/openstack-ansible-galera_server,Non core,0.8695652173913043,3.4482758620689653,1,5
openstack/charm-vault,openstack/puppet-openstack_spec_helper,Core,0.0,0.0,0,4
openstack/charm-vault,openstack/puppet-openstack_spec_helper,Non core,0.0,3.8834951456310676,0,4
openstack/charm-vault,openstack/trove-dashboard,Core,2.1052631578947367,0.6369426751592357,2,5
openstack/charm-vault,openstack/trove-dashboard,Non core,0.0,2.547770700636943,2,5
openstack/charm-vault,openstack/pyeclib,Core,0.0,0.0,0,0
openstack/charm-vault,openstack/pyeclib,Non core,0.0,0.0,0,0
openstack/charm-vault,openstack/neutron-vpnaas,Core,0.5847953216374269,0.3436426116838488,5,10
openstack/charm-vault,openstack/neutron-vpnaas,Non core,2.3391812865497075,3.0927835051546393,5,10
openstack/charm-vault,openstack/charm-designate,Core,1.7857142857142856,1.7857142857142856,18,24
openstack/charm-vault,openstack/charm-designate,Non core,30.357142857142854,41.07142857142857,18,24
openstack/charm-vault,openstack/neutron-lbaas,Core,0.0,0.25510204081632654,2,7
openstack/charm-vault,openstack/neutron-lbaas,Non core,0.847457627118644,1.530612244897959,2,7
openstack/charm-vault,openstack/oslo.privsep,Core,1.0101010101010102,0.7518796992481203,3,5
openstack/charm-vault,openstack/oslo.privsep,Non core,2.0202020202020203,3.007518796992481,3,5
openstack/charm-vault,openstack/charm-glance,Core,2.898550724637681,3.1746031746031744,21,27
openstack/charm-vault,openstack/charm-glance,Non core,27.536231884057973,39.682539682539684,21,27
openstack/charm-vault,openstack/charm-ceph-mon,Core,1.282051282051282,2.898550724637681,20,30
openstack/charm-vault,openstack/charm-ceph-mon,Non core,24.358974358974358,40.57971014492754,20,30
openstack/charm-vault,openstack/vitrage,Core,0.641025641025641,0.48543689320388345,4,7
openstack/charm-vault,openstack/vitrage,Non core,1.9230769230769231,2.912621359223301,4,7
openstack/charm-vault,openstack/puppet-murano,Core,0.0,0.8333333333333334,0,5
openstack/charm-vault,openstack/puppet-murano,Non core,0.0,3.3333333333333335,0,5
openstack/charm-vault,openstack/networking-bagpipe,Core,0.0,1.5037593984962405,2,8
openstack/charm-vault,openstack/networking-bagpipe,Non core,2.1739130434782608,4.511278195488721,2,8
openstack/charm-vault,openstack/api-site,Core,0.2985074626865672,0.19801980198019803,2,6
openstack/charm-vault,openstack/api-site,Non core,0.2985074626865672,0.9900990099009901,2,6
openstack/charm-vault,openstack/charm-cinder-purestorage,Core,2.3255813953488373,0.0,10,14
openstack/charm-vault,openstack/charm-cinder-purestorage,Non core,20.930232558139537,30.434782608695656,10,14
openstack/charm-vault,openstack/python-magnumclient,Core,0.6024096385542169,0.4975124378109453,5,8
openstack/charm-vault,openstack/python-magnumclient,Non core,2.4096385542168677,3.482587064676617,5,8
openstack/charm-vault,openstack/magnum-tempest-plugin,Core,1.639344262295082,1.3513513513513513,2,4
openstack/charm-vault,openstack/magnum-tempest-plugin,Non core,1.639344262295082,4.054054054054054,2,4
openstack/charm-vault,openstack/openstack-ansible-os_tempest,Core,0.0,0.5586592178770949,1,6
openstack/charm-vault,openstack/openstack-ansible-os_tempest,Non core,0.7407407407407408,2.793296089385475,1,6
openstack/charm-vault,openstack/aodh,Core,0.5714285714285714,0.4424778761061947,8,9
openstack/charm-vault,openstack/aodh,Non core,4.0,3.5398230088495577,8,9
openstack/charm-vault,openstack/operations-guide,Core,0.7299270072992701,0.5025125628140703,1,3
openstack/charm-vault,openstack/operations-guide,Non core,0.0,1.0050251256281406,1,3
openstack/charm-vault,openstack/contributor-guide,Core,1.2345679012345678,0.9090909090909091,1,4
openstack/charm-vault,openstack/contributor-guide,Non core,0.0,2.727272727272727,1,4
openstack/charm-vault,openstack/charm-ceph-radosgw,Core,1.5625,3.389830508474576,18,23
openstack/charm-vault,openstack/charm-ceph-radosgw,Non core,26.5625,35.59322033898305,18,23
openstack/charm-vault,openstack/python-aodhclient,Core,1.0416666666666665,0.8620689655172413,2,6
openstack/charm-vault,openstack/python-aodhclient,Non core,1.0416666666666665,4.310344827586207,2,6
openstack/charm-vault,openstack/ec2-api,Core,0.9345794392523363,0.8620689655172413,3,5
openstack/charm-vault,openstack/ec2-api,Non core,1.8691588785046727,3.4482758620689653,3,5
openstack/charm-vault,openstack/ec2api-tempest-plugin,Core,0.0,1.7543859649122806,1,2
openstack/charm-vault,openstack/ec2api-tempest-plugin,Non core,1.7241379310344827,1.7543859649122806,1,2
openstack/charm-vault,openstack/openstack-manuals,Core,0.20202020202020202,0.14903129657228018,9,15
openstack/charm-vault,openstack/openstack-manuals,Non core,0.7070707070707071,0.9687034277198211,9,15
openstack/charm-vault,openstack/security-doc,Core,0.5555555555555556,0.0,2,3
openstack/charm-vault,openstack/security-doc,Non core,0.5555555555555556,0.9404388714733543,2,3
openstack/charm-vault,openstack/openstack-ansible-openstack_hosts,Core,0.0,0.0,1,5
openstack/charm-vault,openstack/openstack-ansible-openstack_hosts,Non core,0.8928571428571428,3.937007874015748,1,5
openstack/charm-vault,openstack/magnum-ui,Core,0.9900990099009901,0.6711409395973155,3,4
openstack/charm-vault,openstack/magnum-ui,Non core,1.9801980198019802,2.013422818791946,3,4
openstack/charm-vault,openstack/charm-specs,Core,1.4285714285714286,3.0303030303030303,15,21
openstack/charm-vault,openstack/charm-specs,Non core,20.0,28.78787878787879,15,21
openstack/charm-vault,openstack/ceilometer-powervm,Core,0.0,0.0,1,2
openstack/charm-vault,openstack/ceilometer-powervm,Non core,1.3333333333333335,1.8691588785046727,1,2
openstack/charm-vault,openstack/sahara-dashboard,Core,0.7936507936507936,0.7142857142857143,4,4
openstack/charm-vault,openstack/sahara-dashboard,Non core,2.380952380952381,2.142857142857143,4,4
openstack/charm-vault,openstack/freezer-web-ui,Core,0.9900990099009901,0.7751937984496124,1,4
openstack/charm-vault,openstack/freezer-web-ui,Non core,0.0,2.3255813953488373,1,4
openstack/charm-vault,openstack/neutron-fwaas-dashboard,Core,1.5384615384615385,0.9615384615384616,2,4
openstack/charm-vault,openstack/neutron-fwaas-dashboard,Non core,1.5384615384615385,2.8846153846153846,2,4
openstack/charm-vault,openstack/neutron-vpnaas-dashboard,Core,1.5873015873015872,1.2048192771084338,3,4
openstack/charm-vault,openstack/neutron-vpnaas-dashboard,Non core,3.1746031746031744,3.614457831325301,3,4
openstack/charm-vault,openstack/zaqar,Core,0.4273504273504274,0.30864197530864196,4,6
openstack/charm-vault,openstack/zaqar,Non core,1.282051282051282,1.5432098765432098,4,6
openstack/charm-vault,openstack/pycadf,Core,1.0204081632653061,0.7352941176470588,3,5
openstack/charm-vault,openstack/pycadf,Non core,2.0408163265306123,2.941176470588235,3,5
openstack/charm-vault,openstack/election,Core,0.2949852507374631,0.32786885245901637,6,3
openstack/charm-vault,openstack/election,Non core,1.4749262536873156,0.6557377049180327,6,3
openstack/charm-vault,openstack/openstack-ansible-os_tacker,Core,0.0,0.0,1,4
openstack/charm-vault,openstack/openstack-ansible-os_tacker,Non core,1.3333333333333335,4.081632653061225,1,4
openstack/charm-vault,openstack/whitebox-tempest-plugin,Core,2.083333333333333,1.5625,1,4
openstack/charm-vault,openstack/whitebox-tempest-plugin,Non core,0.0,4.6875,1,4
openstack/charm-vault,openstack/charm-ceph-osd,Core,2.898550724637681,3.076923076923077,22,27
openstack/charm-vault,openstack/charm-ceph-osd,Non core,28.985507246376812,38.46153846153847,22,27
openstack/charm-vault,openstack/osc-lib,Core,0.0,0.6802721088435374,1,5
openstack/charm-vault,openstack/osc-lib,Non core,0.8547008547008548,2.7210884353741496,1,5
openstack/charm-vault,openstack/charm-magnum-dashboard,Core,0.0,0.0,3,8
openstack/charm-vault,openstack/charm-magnum-dashboard,Non core,7.5,18.181818181818183,3,8
openstack/charm-vault,openstack/charms.ceph,Core,3.3333333333333335,3.508771929824561,15,22
openstack/charm-vault,openstack/charms.ceph,Non core,21.666666666666668,35.08771929824561,15,22
openstack/charm-vault,openstack/python-troveclient,Core,1.1111111111111112,0.3787878787878788,3,6
openstack/charm-vault,openstack/python-troveclient,Non core,0.5555555555555556,1.893939393939394,3,6
openstack/charm-vault,openstack/release-test,Core,1.8867924528301887,0.0,1,0
openstack/charm-vault,openstack/release-test,Non core,0.0,0.0,1,0
openstack/charm-vault,openstack/charm-layer-openstack,Core,0.0,0.0,13,17
openstack/charm-vault,openstack/charm-layer-openstack,Non core,27.659574468085108,35.41666666666667,13,17
openstack/charm-vault,openstack/charm-layer-openstack-api,Core,0.0,0.0,9,10
openstack/charm-vault,openstack/charm-layer-openstack-api,Non core,21.951219512195124,21.73913043478261,9,10
openstack/charm-vault,openstack/cliff,Core,0.7352941176470588,0.45871559633027525,2,6
openstack/charm-vault,openstack/cliff,Non core,0.7352941176470588,2.293577981651376,2,6
openstack/charm-vault,openstack/virtualbmc,Core,1.2345679012345678,1.0309278350515463,2,3
openstack/charm-vault,openstack/virtualbmc,Non core,1.2345679012345678,2.0618556701030926,2,3
openstack/charm-vault,openstack/watcher-tempest-plugin,Core,1.5873015873015872,1.2195121951219512,2,4
openstack/charm-vault,openstack/watcher-tempest-plugin,Non core,1.5873015873015872,3.6585365853658534,2,4
openstack/charm-vault,openstack/charm-nova-cloud-controller,Core,3.1746031746031744,3.1746031746031744,27,32
openstack/charm-vault,openstack/charm-nova-cloud-controller,Non core,39.682539682539684,47.61904761904761,27,32
openstack/charm-vault,openstack/devstack-gate,Core,0.0,0.2257336343115124,0,6
openstack/charm-vault,openstack/devstack-gate,Non core,0.0,1.1286681715575622,0,6
openstack/charm-vault,openstack/ansible-role-pki,Core,0.0,0.0,0,0
openstack/charm-vault,openstack/ansible-role-pki,Non core,0.0,0.0,0,0
openstack/charm-vault,openstack/charm-masakari-monitors,Core,2.5,0.0,13,13
openstack/charm-vault,openstack/charm-masakari-monitors,Non core,30.0,28.888888888888886,13,13
openstack/charm-vault,openstack/networking-baremetal,Core,1.36986301369863,1.0638297872340425,2,4
openstack/charm-vault,openstack/networking-baremetal,Non core,1.36986301369863,3.1914893617021276,2,4
openstack/charm-vault,openstack/reno,Core,2.127659574468085,0.8064516129032258,3,5
openstack/charm-vault,openstack/reno,Non core,1.0638297872340425,3.225806451612903,3,5
openstack/charm-vault,openstack/project-team-guide,Core,1.0,0.49019607843137253,1,3
openstack/charm-vault,openstack/project-team-guide,Non core,0.0,0.9803921568627451,1,3
openstack/charm-vault,openstack/ui-cookiecutter,Core,0.0,0.0,0,0
openstack/charm-vault,openstack/ui-cookiecutter,Non core,0.0,0.0,0,0
openstack/charm-vault,openstack/networking-odl,Core,0.5555555555555556,0.3125,4,6
openstack/charm-vault,openstack/networking-odl,Non core,1.6666666666666667,1.5625,4,6
openstack/charm-vault,openstack/monasca-agent,Core,0.4524886877828055,0.33557046979865773,4,6
openstack/charm-vault,openstack/monasca-agent,Non core,1.3574660633484164,1.6778523489932886,4,6
openstack/charm-vault,openstack/shade,Core,0.0,0.0,1,4
openstack/charm-vault,openstack/shade,Non core,0.6993006993006993,2.0,1,4
openstack/charm-vault,openstack/python-freezerclient,Core,0.0,0.9523809523809524,2,7
openstack/charm-vault,openstack/python-freezerclient,Non core,2.272727272727273,5.714285714285714,2,7
openstack/charm-vault,openstack/js-openstack-lib,Core,0.0,0.0,0,2
openstack/charm-vault,openstack/js-openstack-lib,Non core,0.0,2.941176470588235,0,2
openstack/charm-vault,openstack/rally,Core,0.0,0.19083969465648853,4,8
openstack/charm-vault,openstack/rally,Non core,0.9852216748768473,1.3358778625954197,4,8
openstack/charm-vault,openstack/cinder-specs,Core,0.0,0.29940119760479045,0,6
openstack/charm-vault,openstack/cinder-specs,Non core,0.0,1.4970059880239521,0,6
openstack/charm-vault,openstack/reviewday,Core,0.0,0.0,0,0
openstack/charm-vault,openstack/reviewday,Non core,0.0,0.0,0,0
openstack/charm-vault,openstack/freezer-api,Core,0.8264462809917356,0.7142857142857143,3,5
openstack/charm-vault,openstack/freezer-api,Non core,1.6528925619834711,2.857142857142857,3,5
openstack/charm-vault,openstack/networking-powervm,Core,0.0,0.0,1,3
openstack/charm-vault,openstack/networking-powervm,Non core,1.36986301369863,2.803738317757009,1,3
openstack/charm-vault,openstack/openstack-doc-tools,Core,0.9009009009009009,1.3888888888888888,3,4
openstack/charm-vault,openstack/openstack-doc-tools,Non core,1.8018018018018018,1.3888888888888888,3,4
openstack/charm-vault,openstack/freezer,Core,0.5649717514124294,0.4098360655737705,4,5
openstack/charm-vault,openstack/freezer,Non core,1.694915254237288,1.639344262295082,4,5
openstack/charm-vault,openstack/puppet-openstack-cookiecutter,Core,0.0,0.0,0,3
openstack/charm-vault,openstack/puppet-openstack-cookiecutter,Non core,0.0,3.571428571428571,0,3
openstack/charm-vault,openstack/zaqar-ui,Core,1.3333333333333335,1.0526315789473684,3,4
openstack/charm-vault,openstack/zaqar-ui,Non core,2.666666666666667,3.1578947368421053,3,4
openstack/charm-vault,openstack/oslo.concurrency,Core,0.8333333333333334,0.6622516556291391,4,7
openstack/charm-vault,openstack/oslo.concurrency,Non core,2.5,3.9735099337748347,4,7
openstack/charm-vault,openstack/charm-octavia,Core,4.25531914893617,3.7037037037037033,21,27
openstack/charm-vault,openstack/charm-octavia,Non core,40.42553191489361,46.2962962962963,21,27
openstack/charm-vault,openstack/charm-ironic-conductor,Core,0.0,0.0,8,12
openstack/charm-vault,openstack/charm-ironic-conductor,Non core,19.047619047619047,25.0,8,12
openstack/charm-vault,openstack/charm-neutron-api-plugin-ovn,Core,2.380952380952381,0.0,10,15
openstack/charm-vault,openstack/charm-neutron-api-plugin-ovn,Non core,21.428571428571427,32.608695652173914,10,15
openstack/charm-vault,openstack/charm-octavia-dashboard,Core,4.878048780487805,4.3478260869565215,15,18
openstack/charm-vault,openstack/charm-octavia-dashboard,Non core,31.70731707317073,34.78260869565217,15,18
openstack/charm-vault,openstack/charm-masakari,Core,2.380952380952381,0.0,11,16
openstack/charm-vault,openstack/charm-masakari,Non core,23.809523809523807,33.33333333333333,11,16
openstack/charm-vault,openstack/zun-ui,Core,1.36986301369863,0.9174311926605505,1,4
openstack/charm-vault,openstack/zun-ui,Non core,0.0,2.7522935779816518,1,4
openstack/charm-vault,openstack/python-brick-cinderclient-ext,Core,1.2345679012345678,0.9523809523809524,3,6
openstack/charm-vault,openstack/python-brick-cinderclient-ext,Non core,2.4691358024691357,4.761904761904762,3,6
openstack/charm-vault,openstack/puppet-tacker,Core,0.0,0.0,1,2
openstack/charm-vault,openstack/puppet-tacker,Non core,1.4925373134328357,2.8169014084507045,1,2
openstack/charm-vault,openstack/puppet-ec2api,Core,0.0,1.4084507042253522,0,2
openstack/charm-vault,openstack/puppet-ec2api,Non core,0.0,1.4084507042253522,0,2
openstack/charm-vault,openstack/puppet-mistral,Core,0.0,0.7936507936507936,0,2
openstack/charm-vault,openstack/puppet-mistral,Non core,0.0,0.7936507936507936,0,2
openstack/charm-vault,openstack/puppet-oslo,Core,1.1111111111111112,0.0,1,3
openstack/charm-vault,openstack/puppet-oslo,Non core,0.0,2.586206896551724,1,3
openstack/charm-vault,openstack/puppet-manila,Core,0.0,0.6535947712418301,0,5
openstack/charm-vault,openstack/puppet-manila,Non core,0.0,2.6143790849673203,0,5
openstack/charm-vault,openstack/puppet-sahara,Core,0.0,0.6369426751592357,0,4
openstack/charm-vault,openstack/puppet-sahara,Non core,0.0,1.910828025477707,0,4
openstack/charm-vault,openstack/puppet-vswitch,Core,0.0,0.0,0,3
openstack/charm-vault,openstack/puppet-vswitch,Non core,0.0,2.097902097902098,0,3
openstack/charm-vault,openstack/puppet-gnocchi,Core,0.0,0.7874015748031495,1,4
openstack/charm-vault,openstack/puppet-gnocchi,Non core,0.9523809523809524,2.3622047244094486,1,4
openstack/charm-vault,openstack/puppet-vitrage,Core,0.0,1.1363636363636365,0,3
openstack/charm-vault,openstack/puppet-vitrage,Non core,0.0,2.272727272727273,0,3
openstack/charm-vault,openstack/puppet-magnum,Core,0.0,0.9803921568627451,0,3
openstack/charm-vault,openstack/puppet-magnum,Non core,0.0,1.9607843137254901,0,3
openstack/charm-vault,openstack/puppet-rally,Core,0.0,0.0,0,2
openstack/charm-vault,openstack/puppet-rally,Non core,0.0,2.7027027027027026,0,2
openstack/charm-vault,openstack/puppet-watcher,Core,0.0,1.0638297872340425,0,3
openstack/charm-vault,openstack/puppet-watcher,Non core,0.0,2.127659574468085,0,3
openstack/charm-vault,openstack/puppet-cloudkitty,Core,0.0,1.4285714285714286,1,3
openstack/charm-vault,openstack/puppet-cloudkitty,Non core,1.4084507042253522,2.857142857142857,1,3
openstack/charm-vault,openstack/puppet-placement,Core,0.0,1.4285714285714286,0,2
openstack/charm-vault,openstack/puppet-placement,Non core,0.0,1.4285714285714286,0,2
openstack/charm-vault,openstack/puppet-ceilometer,Core,0.0,0.0,0,6
openstack/charm-vault,openstack/puppet-ceilometer,Non core,0.0,3.314917127071823,0,6
openstack/charm-vault,openstack/puppet-heat,Core,0.0,0.5263157894736842,0,3
openstack/charm-vault,openstack/puppet-heat,Non core,0.0,1.0526315789473684,0,3
openstack/charm-vault,openstack/puppet-cinder,Core,0.0,0.33112582781456956,0,5
openstack/charm-vault,openstack/puppet-cinder,Non core,0.0,1.3245033112582782,0,5
openstack/charm-vault,openstack/puppet-barbican,Core,0.0,0.8771929824561403,0,4
openstack/charm-vault,openstack/puppet-barbican,Non core,0.0,2.631578947368421,0,4
openstack/charm-vault,openstack/tenks,Core,0.0,0.0,0,1
openstack/charm-vault,openstack/tenks,Non core,0.0,1.639344262295082,0,1
openstack/charm-vault,openstack/charm-cinder-ceph,Core,3.8461538461538463,3.7037037037037033,19,24
openstack/charm-vault,openstack/charm-cinder-ceph,Non core,32.69230769230769,40.74074074074074,19,24
openstack/charm-vault,openstack/charm-heat,Core,3.8461538461538463,3.571428571428571,22,27
openstack/charm-vault,openstack/charm-heat,Non core,38.46153846153847,44.642857142857146,22,27
openstack/charm-vault,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,7,8
openstack/charm-vault,openstack/charm-neutron-api-plugin-ironic,Non core,17.5,17.77777777777778,7,8
openstack/charm-vault,openstack/charm-openstack-dashboard,Core,2.666666666666667,3.076923076923077,23,27
openstack/charm-vault,openstack/charm-openstack-dashboard,Non core,28.000000000000004,38.46153846153847,23,27
openstack/charm-vault,openstack/charm-keystone-kerberos,Core,0.0,0.0,6,12
openstack/charm-vault,openstack/charm-keystone-kerberos,Non core,15.0,27.27272727272727,6,12
openstack/charm-vault,openstack/python-keystoneclient,Core,0.33222591362126247,0.408997955010225,3,8
openstack/charm-vault,openstack/python-keystoneclient,Non core,0.6644518272425249,1.2269938650306749,3,8
openstack/charm-vault,openstack/charm-gnocchi,Core,2.083333333333333,1.8867924528301887,18,23
openstack/charm-vault,openstack/charm-gnocchi,Non core,35.41666666666667,41.509433962264154,18,23
openstack/charm-vault,openstack/ironic-lib,Core,0.8695652173913043,0.6060606060606061,3,3
openstack/charm-vault,openstack/ironic-lib,Non core,1.7391304347826086,1.2121212121212122,3,3
openstack/charm-vault,openstack/ovsdbapp,Core,1.1235955056179776,0.8333333333333334,3,6
openstack/charm-vault,openstack/ovsdbapp,Non core,2.247191011235955,4.166666666666666,3,6
openstack/charm-vault,openstack/python-octaviaclient,Core,0.0,0.8928571428571428,2,4
openstack/charm-vault,openstack/python-octaviaclient,Non core,2.2222222222222223,2.6785714285714284,2,4
openstack/charm-vault,openstack/octavia-lib,Core,0.0,1.1904761904761905,1,5
openstack/charm-vault,openstack/octavia-lib,Non core,1.639344262295082,4.761904761904762,1,5
openstack/charm-vault,openstack/charm-neutron-gateway,Core,3.0303030303030303,3.076923076923077,23,27
openstack/charm-vault,openstack/charm-neutron-gateway,Non core,31.818181818181817,38.46153846153847,23,27
openstack/charm-vault,openstack/charm-hacluster,Core,1.7543859649122806,3.4482758620689653,22,29
openstack/charm-vault,openstack/charm-hacluster,Non core,36.84210526315789,46.55172413793103,22,29
openstack/charm-vault,openstack/charm-manila,Core,3.9215686274509802,4.25531914893617,15,21
openstack/charm-vault,openstack/charm-manila,Non core,25.49019607843137,40.42553191489361,15,21
openstack/charm-vault,openstack/ironic-prometheus-exporter,Core,1.7543859649122806,1.5873015873015872,1,1
openstack/charm-vault,openstack/ironic-prometheus-exporter,Non core,0.0,0.0,1,1
openstack/charm-vault,openstack/charm-manila-netapp,Core,0.0,0.0,3,6
openstack/charm-vault,openstack/charm-manila-netapp,Non core,7.6923076923076925,13.636363636363635,3,6
openstack/charm-vault,openstack/charm-pacemaker-remote,Core,2.5,2.2222222222222223,11,17
openstack/charm-vault,openstack/charm-pacemaker-remote,Non core,25.0,35.55555555555556,11,17
openstack/charm-vault,openstack/charm-glance-simplestreams-sync,Core,2.083333333333333,2.083333333333333,19,21
openstack/charm-vault,openstack/charm-glance-simplestreams-sync,Non core,37.5,41.66666666666667,19,21
openstack/charm-vault,openstack/oslo-specs,Core,0.8547008547008548,0.33670033670033667,1,2
openstack/charm-vault,openstack/oslo-specs,Non core,0.0,0.33670033670033667,1,2
openstack/charm-vault,openstack/openstack-ansible-rsyslog_server,Core,0.0,0.0,1,4
openstack/charm-vault,openstack/openstack-ansible-rsyslog_server,Non core,1.1627906976744187,3.8834951456310676,1,4
openstack/charm-vault,openstack/openstack-ansible-rsyslog_client,Core,0.0,0.9900990099009901,1,5
openstack/charm-vault,openstack/openstack-ansible-rsyslog_client,Non core,1.0752688172043012,3.9603960396039604,1,5
openstack/charm-vault,openstack/charm-cinder-backup,Core,4.166666666666666,4.0,14,19
openstack/charm-vault,openstack/charm-cinder-backup,Non core,25.0,34.0,14,19
openstack/charm-vault,openstack/charm-cinder-backup-swift-proxy,Core,2.380952380952381,0.0,10,13
openstack/charm-vault,openstack/charm-cinder-backup-swift-proxy,Non core,21.428571428571427,28.888888888888886,10,13
openstack/charm-vault,openstack/tripleo-ci-health-queries,Core,0.0,0.0,0,0
openstack/charm-vault,openstack/tripleo-ci-health-queries,Non core,0.0,0.0,0,0
openstack/charm-vault,openstack/castellan,Core,0.8547008547008548,0.591715976331361,4,7
openstack/charm-vault,openstack/castellan,Non core,2.564102564102564,3.5502958579881656,4,7
openstack/charm-vault,openstack/kuryr,Core,0.78125,0.45662100456621,3,5
openstack/charm-vault,openstack/kuryr,Non core,1.5625,1.82648401826484,3,5
openstack/charm-vault,openstack/masakari-monitors,Core,1.2195121951219512,0.9090909090909091,3,5
openstack/charm-vault,openstack/masakari-monitors,Non core,2.4390243902439024,3.6363636363636362,3,5
openstack/charm-vault,openstack/adjutant,Core,1.639344262295082,1.5151515151515151,2,6
openstack/charm-vault,openstack/adjutant,Non core,1.639344262295082,7.575757575757576,2,6
openstack/charm-vault,openstack/keystonemiddleware,Core,0.0,0.4,1,6
openstack/charm-vault,openstack/keystonemiddleware,Non core,0.6493506493506493,2.0,1,6
openstack/charm-vault,openstack/charm-barbican-vault,Core,2.4390243902439024,4.3478260869565215,16,18
openstack/charm-vault,openstack/charm-barbican-vault,Non core,36.58536585365854,34.78260869565217,16,18
openstack/charm-vault,openstack/charm-aodh,Core,2.083333333333333,1.8867924528301887,16,20
openstack/charm-vault,openstack/charm-aodh,Non core,31.25,35.84905660377358,16,20
openstack/charm-vault,openstack/charm-keystone,Core,2.380952380952381,2.7027027027027026,24,27
openstack/charm-vault,openstack/charm-keystone,Non core,26.190476190476193,33.78378378378378,24,27
openstack/charm-vault,openstack/charm-designate-bind,Core,1.9607843137254901,3.7037037037037033,17,25
openstack/charm-vault,openstack/charm-designate-bind,Non core,31.372549019607842,42.592592592592595,17,25
openstack/charm-vault,openstack/charm-magnum,Core,0.0,0.0,3,7
openstack/charm-vault,openstack/charm-magnum,Non core,7.5,15.909090909090908,3,7
openstack/charm-vault,openstack/charm-manila-ganesha,Core,2.380952380952381,0.0,13,14
openstack/charm-vault,openstack/charm-manila-ganesha,Non core,28.57142857142857,30.434782608695656,13,14
openstack/charm-vault,openstack/ldappool,Core,0.0,1.3888888888888888,2,4
openstack/charm-vault,openstack/ldappool,Non core,3.225806451612903,4.166666666666666,2,4
openstack/charm-vault,openstack/charm-nova-compute-nvidia-vgpu,Core,0.0,0.0,4,7
openstack/charm-vault,openstack/charm-nova-compute-nvidia-vgpu,Non core,10.256410256410255,15.909090909090908,4,7
openstack/charm-vault,openstack/charm-zuul-jobs,Core,0.0,0.0,2,4
openstack/charm-vault,openstack/charm-zuul-jobs,Non core,5.128205128205128,8.695652173913043,2,4
openstack/charm-vault,openstack/charm-swift-storage,Core,1.6129032258064515,3.1746031746031744,17,27
openstack/charm-vault,openstack/charm-swift-storage,Non core,25.806451612903224,39.682539682539684,17,27
openstack/charm-vault,openstack/charm-swift-proxy,Core,1.6129032258064515,3.278688524590164,16,20
openstack/charm-vault,openstack/charm-swift-proxy,Non core,24.193548387096776,29.508196721311474,16,20
openstack/charm-vault,openstack/openstack-virtual-baremetal,Core,1.7857142857142856,0.0,3,1
openstack/charm-vault,openstack/openstack-virtual-baremetal,Non core,3.571428571428571,1.282051282051282,3,1
openstack/charm-vault,openstack/charm-neutron-openvswitch,Core,3.0303030303030303,2.9850746268656714,24,28
openstack/charm-vault,openstack/charm-neutron-openvswitch,Non core,33.33333333333333,38.80597014925373,24,28
openstack/charm-vault,openstack/kuryr-libnetwork,Core,1.0204081632653061,0.7352941176470588,4,6
